ts_utc,open,high,low,close,volume
2026-07-24T14:30:00Z,159.0300,159.6800,157.0115,159.3500,1988705
2026-07-24T15:00:00Z,159.3800,159.8500,157.6600,158.2300,1462803
2026-07-24T15:30:00Z,158.1000,159.2000,157.7000,158.8000,1059649
2026-07-24T16:00:00Z,158.7500,159.7085,157.9700,158.3700,826626
2026-07-24T16:30:00Z,158.3000,158.4500,156.7400,157.3950,875939
2026-07-24T17:00:00Z,157.4300,157.5081,155.7900,156.8000,1255848
2026-07-24T17:30:00Z,156.7850,157.0000,155.6600,156.1050,752832
2026-07-24T18:00:00Z,156.0450,156.2500,153.8900,153.9900,1738387
2026-07-24T18:30:00Z,154.0000,154.6700,153.3900,154.4000,1189955
2026-07-24T19:00:00Z,154.4400,154.7800,153.1001,154.1400,1470664
2026-07-24T19:30:00Z,154.1700,155.1700,153.7500,154.5800,2563257
2026-07-27T13:30:00Z,159.7000,159.7100,149.6200,149.7400,8136651
2026-07-27T14:00:00Z,149.7900,149.9999,142.4200,142.6600,8250216
2026-07-27T14:30:00Z,142.7200,145.8900,139.2500,145.7200,6520851
2026-07-27T15:00:00Z,145.6700,146.2600,141.0300,141.7000,3836800
2026-07-27T15:30:00Z,141.6198,141.9900,140.4100,141.5400,2570344
2026-07-27T16:00:00Z,141.4750,142.5000,139.6812,140.7150,3751483
2026-07-27T16:30:00Z,140.7799,141.5150,139.1000,139.8600,2857885
2026-07-27T17:00:00Z,139.8400,140.8850,139.0100,140.1750,2446167
2026-07-27T17:30:00Z,140.1750,142.6200,139.7000,142.5830,1589563
2026-07-27T18:00:00Z,142.5600,143.4400,141.7501,143.0300,1422844
2026-07-27T18:30:00Z,143.0300,144.3300,141.5300,144.2200,1470095
2026-07-27T19:00:00Z,144.2300,146.1800,143.9800,146.1300,1690717
2026-07-27T19:30:00Z,146.1600,146.3000,142.6015,143.1900,3861372
2026-07-28T13:30:00Z,135.9000,136.4900,128.6301,129.1400,12788307
2026-07-28T14:00:00Z,129.0200,131.3994,128.2901,130.1850,6043973
2026-07-28T14:30:00Z,130.2000,134.4998,129.6200,131.4050,3617636
2026-07-28T15:00:00Z,131.3600,133.4000,129.0750,132.7300,3736249
2026-07-28T15:30:00Z,132.7300,134.0600,131.5400,133.2700,2203369
2026-07-28T16:00:00Z,133.2700,134.1700,132.0000,132.4800,1862499
2026-07-28T16:30:00Z,132.4880,133.8400,131.1501,133.3000,1041080
2026-07-28T17:00:00Z,133.2000,133.6900,131.6100,132.0000,848316
2026-07-28T17:30:00Z,132.0050,132.6000,130.8201,131.5100,975870
2026-07-28T18:00:00Z,131.4800,131.7900,129.6300,129.6950,1622045
2026-07-28T18:30:00Z,129.6950,131.0550,129.5600,130.7900,1613851
2026-07-28T19:00:00Z,130.8050,133.2600,130.8000,133.2000,2269890
2026-07-28T19:30:00Z,133.2000,133.3400,129.3100,130.1800,4370549
2026-07-29T13:30:00Z,129.8400,133.6000,127.5000,131.7400,18817506
2026-07-29T14:00:00Z,131.7600,136.3990,129.1300,130.0279,7101629
2026-07-29T14:30:00Z,129.9800,131.4000,128.3401,129.5500,3698605
2026-07-29T15:00:00Z,129.6100,131.1400,128.0000,128.5950,2468145
2026-07-29T15:30:00Z,128.5400,129.3715,126.5400,128.1300,2626258
2026-07-29T16:00:00Z,128.2000,128.7600,124.8001,126.8100,3092224
2026-07-29T16:30:00Z,126.7800,127.5000,125.9300,127.2899,1750124
2026-07-29T17:00:00Z,127.2800,128.9899,126.7200,126.9000,2362288
2026-07-29T17:30:00Z,126.9000,128.6884,126.6200,128.4450,1617259
2026-07-29T18:00:00Z,128.4451,130.9900,127.2014,127.8000,3054604
2026-07-29T18:30:00Z,127.8000,135.3400,127.1200,135.3150,3733024
2026-07-29T19:00:00Z,135.3700,137.1900,129.2701,130.6557,5801715
2026-07-29T19:30:00Z,130.6800,131.2600,125.8000,126.7900,5465664
2026-07-30T13:30:00Z,136.4800,142.4700,134.5100,142.3449,16746389
2026-07-30T14:00:00Z,142.3300,148.7500,140.1000,148.4900,7234924
2026-07-30T14:30:00Z,148.4400,149.3000,143.4400,144.2000,5066550
2026-07-30T15:00:00Z,144.1500,145.8900,143.1300,143.8600,3253084
2026-07-30T15:30:00Z,143.8950,147.4900,143.8100,146.8400,2539671
2026-07-30T16:00:00Z,146.8900,148.2500,146.4900,146.8600,2163239
2026-07-30T16:30:00Z,146.8600,147.3822,145.5400,147.2856,1569624
2026-07-30T17:00:00Z,147.2860,149.5000,147.2400,147.8500,1847264
2026-07-30T17:30:00Z,147.8500,149.0400,147.7000,148.1100,1133815
2026-07-30T18:00:00Z,148.1100,148.8000,147.4900,148.5700,995544
2026-07-30T18:30:00Z,148.6300,148.9399,147.9300,148.7900,1254319
2026-07-30T19:00:00Z,148.7900,150.3560,148.7400,149.1950,2076218
2026-07-30T19:30:00Z,149.1950,149.6200,147.9300,148.8550,2816106
2026-07-31T13:30:00Z,159.8750,162.6500,149.3000,150.5699,16808264
2026-07-31T14:00:00Z,150.4700,151.2899,144.6500,149.0200,7905657
2026-07-31T14:30:00Z,149.0900,149.9700,146.1701,147.7100,3202955
2026-07-31T15:00:00Z,147.6900,149.4700,145.0600,146.2900,3083690
2026-07-31T15:30:00Z,146.1700,147.4000,145.0500,146.6200,1682286
2026-07-31T16:00:00Z,146.5900,147.0300,144.7000,146.6300,1756351
2026-07-31T16:30:00Z,146.6500,148.6300,146.1650,148.0750,1399213
2026-07-31T17:00:00Z,148.0750,149.0000,147.2501,148.7300,996670
2026-07-31T17:30:00Z,148.7000,149.5899,147.9100,148.0900,918850
2026-07-31T18:00:00Z,148.1000,148.3598,146.2450,146.7900,889661
2026-07-31T18:30:00Z,146.8450,148.1100,146.8450,147.4350,732612
2026-07-31T19:00:00Z,147.4000,147.8399,146.6700,147.4506,701002
2026-07-31T19:30:00Z,147.3600,147.4700,143.5100,143.7500,4056720
2026-08-03T13:30:00Z,139.7100,140.0800,134.5800,138.3000,7583096
2026-08-03T14:00:00Z,138.2300,139.1600,135.2701,138.8450,3319622
2026-08-03T14:30:00Z,138.8450,141.7400,138.3800,141.1800,3340444
2026-08-03T15:00:00Z,141.2100,141.2263,137.7200,137.8700,2123689
2026-08-03T15:30:00Z,137.9000,139.7500,137.7501,139.2000,1216554
2026-08-03T16:00:00Z,139.1900,140.8400,139.0800,139.8900,1166443
2026-08-03T16:30:00Z,139.9150,141.3000,139.3300,139.6750,967987
2026-08-03T17:00:00Z,139.6950,141.9268,139.6300,141.4500,973106
2026-08-03T17:30:00Z,141.5600,143.3600,141.5600,143.1850,1151913
2026-08-03T18:00:00Z,143.2300,144.1600,141.9200,142.1250,1627926
2026-08-03T18:30:00Z,142.1700,142.9600,142.0400,142.3600,839456
2026-08-03T19:00:00Z,142.3500,143.2300,141.0450,141.8058,1085221
2026-08-03T19:30:00Z,141.7100,143.3600,141.5800,142.7500,2093887
2026-08-04T13:30:00Z,150.1800,152.6500,147.4000,148.1600,10281673
2026-08-04T14:00:00Z,148.2400,149.7200,146.7000,149.5000,3270977
2026-08-04T14:30:00Z,149.5300,149.5800,147.2000,148.3000,1954979
2026-08-04T15:00:00Z,148.3300,150.5000,148.1600,149.7800,2133281
2026-08-04T15:30:00Z,149.7200,151.3800,149.1900,150.4100,1845130
2026-08-04T16:00:00Z,150.4300,151.7500,150.1000,151.1900,1671434
2026-08-04T16:30:00Z,151.0200,152.0999,150.7500,151.9600,1226382
2026-08-04T17:00:00Z,151.9600,154.1400,151.3000,154.0350,1587696
2026-08-04T17:30:00Z,154.0100,154.8499,153.2000,154.2482,1653726
2026-08-04T18:00:00Z,154.1600,155.4700,153.6800,155.0000,1394238
2026-08-04T18:30:00Z,155.0000,155.4391,152.8200,153.1300,1603635
2026-08-04T19:00:00Z,153.1300,154.3869,152.9600,153.7700,1153734
2026-08-04T19:30:00Z,153.7150,154.9000,153.4600,154.4350,2494963
2026-08-05T13:30:00Z,150.2200,155.3600,149.8400,154.4540,5696264
